,Id,OverallQual,OverallCond,KitchenQual,GarageCars,Functional,Fireplaces,BsmtExposure,GarageFinish,GarageQual,BsmtQual,HeatingQC,ExterQual,FireplaceQu,BsmtFinType1,BsmtFinType2,TotRmsAbvGrd,BsmtFinSF1,MasVnrArea,BsmtFinSF2,KitchenAbvGr,Outdoor_Rec,Total_Fullbath,Total_Halfbath,Total_House_Area,UnfBsmt,SalePrice,logSalePrice,RoofMatl_compshg,RoofMatl_membran,RoofMatl_metal,RoofMatl_roll,RoofMatl_tar&grv,RoofMatl_wdshake,RoofMatl_wdshngl,CentralAir_y,Exterior1st_asphshn,Exterior1st_brkcomm,Exterior1st_brkface,Exterior1st_cblock,Exterior1st_cemntbd,Exterior1st_hdboard,Exterior1st_imstucc,Exterior1st_metalsd,Exterior1st_plywood,Exterior1st_stone,Exterior1st_stucco,Exterior1st_vinylsd,Exterior1st_wd sdng,Exterior1st_wdshing,Exterior2nd_asphshn,Exterior2nd_brk cmn,Exterior2nd_brkface,Exterior2nd_cblock,Exterior2nd_cmentbd,Exterior2nd_hdboard,Exterior2nd_imstucc,Exterior2nd_metalsd,Exterior2nd_other,Exterior2nd_plywood,Exterior2nd_stone,Exterior2nd_stucco,Exterior2nd_vinylsd,Exterior2nd_wd sdng,Exterior2nd_wd shng,Foundation_cblock,Foundation_pconc,Foundation_slab,Foundation_stone,Foundation_wood,MasVnrType_brkface,MasVnrType_nothing,MasVnrType_stone,PavedDrive_p,PavedDrive_y,Heating_gasa,Heating_gasw,Heating_grav,Heating_othw,Heating_wall,Electrical_fusef,Electrical_fusep,Electrical_mix,Electrical_sbrkr
10,11,5,5,3,1,8,0,1,1,3,3,5,3,0,3,1,5,906,0,0,1,0,2,0,2080,0.12884615384615383,129500,11.771436160121729,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
11,12,9,5,5,3,8,2,1,3,3,5,5,5,4,6,1,11,998,286,0,1,168,4,0,3499,0.15063829787234043,345000,12.751299696013497,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
12,13,5,6,3,1,8,0,1,1,3,3,3,3,0,5,1,4,737,0,0,1,316,2,0,1824,0.19188596491228072,144000,11.877568578558138,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
13,14,7,5,4,3,8,1,3,2,3,4,5,4,4,1,1,7,0,306,0,1,193,2,0,2988,1.0,279500,12.540757571577291,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
14,15,6,5,3,1,8,1,1,2,3,3,3,3,2,4,1,5,733,212,0,1,389,2,1,2506,0.41500399042298486,157000,11.964001084330445,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
15,16,7,8,3,2,8,0,1,1,3,3,5,3,0,1,1,5,0,0,0,1,160,1,0,1686,1.0,132000,11.790557201568507,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
16,17,6,7,3,2,8,1,1,3,3,3,5,3,3,5,1,5,578,180,0,1,0,2,0,2008,0.4243027888446215,149000,11.911701584927597,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
17,18,4,5,3,2,8,0,0,1,3,0,3,3,0,0,0,6,0,0,0,2,0,2,0,1296,0.0,90000,11.407564949312402,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
18,19,5,5,4,2,8,0,1,1,3,3,5,3,0,6,1,6,646,0,0,1,102,2,1,2228,0.42010771992818674,159000,11.976659481202368,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
19,20,5,6,3,1,7,0,1,1,3,3,3,3,0,2,1,6,504,0,0,1,0,1,0,2368,0.5102040816326531,139000,11.842229212112828,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
20,21,8,5,4,3,8,1,3,2,3,5,5,4,4,1,1,9,0,380,0,1,394,3,1,3534,1.0,325300,12.692503112461443,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
21,22,7,7,4,1,8,1,1,1,3,3,5,3,4,1,1,6,0,0,0,1,205,1,0,1745,1.0,139400,11.845102777308561,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
22,23,8,5,4,2,8,1,1,2,3,4,5,4,4,1,1,7,0,281,0,1,330,2,0,3572,1.0,230000,12.345834587905333,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
23,24,5,7,3,2,8,1,1,1,3,4,3,3,3,6,1,6,840,0,0,1,210,2,0,2100,0.19230769230769232,129900,11.77452020265869,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
24,25,5,8,4,1,8,1,2,1,3,3,5,3,3,3,5,6,188,0,668,1,496,2,0,2120,0.19245283018867926,154000,11.944707881395766,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
25,26,8,5,4,3,8,1,1,2,3,4,5,4,4,1,1,7,0,640,0,1,56,2,0,3166,1.0,256300,12.454103912352162,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
26,27,5,7,4,2,8,0,2,1,3,3,3,3,0,4,3,5,234,0,486,1,254,1,1,1800,0.2,134800,11.811547477460344,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
27,28,8,5,4,3,8,1,1,2,3,5,5,4,4,6,1,7,1218,200,0,1,50,3,0,3408,0.2852112676056338,306000,12.631340380934517,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
28,29,5,6,3,1,8,2,4,2,3,3,3,3,4,4,1,6,1277,0,0,1,546,2,0,3084,0.13948787061994608,207500,12.24288661865289,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
29,30,4,6,2,1,8,0,1,1,2,3,2,3,0,1,1,4,0,0,0,1,136,1,0,1040,1.0,68500,11.134589024250317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
30,31,4,4,3,1,8,0,1,1,3,3,3,3,0,1,1,6,0,0,0,1,226,1,0,1966,1.0,40000,10.596634733096073,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
31,32,5,6,4,1,8,0,1,1,3,3,4,3,0,1,1,6,0,0,0,1,65,1,1,2456,1.0,149350,11.914047823644255,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
32,33,8,5,4,2,8,0,3,2,3,5,5,4,0,1,1,7,0,0,0,1,30,2,0,2468,1.0,179900,12.100156419938624,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
33,34,5,5,4,2,8,1,1,2,3,3,4,3,4,3,1,6,1018,0,0,1,38,1,2,3098,0.2718168812589413,165500,12.016726473799254,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
34,35,9,5,5,2,8,1,1,3,3,5,5,5,4,6,1,6,1153,246,0,1,250,3,0,3122,0.26137091607943624,277500,12.533576212168626,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
35,36,8,5,4,3,8,1,3,3,3,5,5,4,4,1,1,9,0,132,0,1,145,3,1,3569,1.0,309000,12.641096555879882,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
36,37,5,5,3,2,8,0,1,1,3,4,5,3,0,1,1,6,0,0,0,1,456,1,1,2194,1.0,145000,11.884489021402711,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
37,38,5,6,3,2,8,1,1,3,3,3,4,3,3,3,1,5,1213,650,0,1,0,1,1,2594,0.06476484194294525,153000,11.938193200374572,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
38,39,5,7,4,1,8,0,1,1,3,3,3,3,0,6,1,5,731,0,0,1,52,2,0,2114,0.30842005676442763,109000,11.59910316121128,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
39,40,4,5,2,0,8,0,0,0,0,0,3,3,0,0,0,6,0,0,0,2,0,2,0,1152,0.0,82000,11.314474526246391,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
40,41,6,5,3,2,8,1,1,2,3,3,5,3,3,3,1,6,643,101,0,1,138,2,0,2412,0.40900735294117646,160000,11.982929094215963,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
41,42,5,6,3,1,8,2,4,2,3,3,4,3,4,4,1,5,967,0,0,1,104,1,2,2678,0.2837037037037037,170000,12.043553716032399,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
42,43,5,7,4,2,8,0,3,2,3,4,4,3,0,5,2,5,747,0,93,1,240,2,0,1724,0.0,144000,11.877568578558138,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
43,44,5,6,3,1,8,0,3,1,3,4,3,3,0,2,4,5,280,0,491,1,145,2,0,1876,0.17803837953091683,130250,11.777210959615614,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
44,45,5,6,3,1,8,0,1,2,3,3,5,3,0,5,4,6,179,0,506,1,0,2,0,2300,0.4043478260869565,141000,11.856515169360305,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
45,46,9,5,5,2,8,1,1,2,3,5,5,5,4,6,1,6,456,412,0,1,278,3,0,3504,0.7397260273972602,319900,12.675763725937609,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
46,47,7,5,4,2,8,1,1,2,3,5,5,4,5,6,1,6,1351,0,0,1,409,2,1,3583,0.05788005578800558,239686,12.387085012375499,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
47,48,8,5,4,3,8,0,3,2,3,4,5,4,0,6,1,7,24,0,0,1,146,2,0,3312,0.9855072463768116,249700,12.428015476267865,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
48,49,4,5,3,0,8,0,1,0,0,3,4,3,0,1,1,8,0,0,0,3,102,2,0,2188,1.0,113000,11.635143097694478,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
49,50,5,7,3,1,8,0,1,1,3,3,5,3,0,4,1,6,763,0,0,1,0,2,0,1910,0.20104712041884817,127000,11.751942365440728,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
50,51,6,6,3,2,8,0,3,3,3,4,4,3,0,6,1,6,182,0,0,1,75,2,1,2264,0.7707808564231738,177000,12.083905011555967,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
51,52,6,6,3,2,8,1,1,1,3,3,3,3,4,1,1,6,0,0,0,1,112,1,0,1992,1.0,114500,11.648330101976432,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
52,53,5,5,3,2,8,0,4,1,3,4,3,2,0,2,6,5,104,0,712,1,106,2,0,1632,0.0,110000,11.608235644774552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
53,54,9,5,4,3,8,1,4,3,3,5,4,4,4,6,1,5,1810,0,0,1,929,2,1,3684,0.01737242128121607,385000,12.86099861326992,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
54,55,5,5,3,2,7,1,1,1,3,3,3,3,3,5,1,6,384,0,0,1,50,1,0,1744,0.0,130000,11.77528972943772,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
55,56,6,5,3,2,8,1,1,2,3,3,4,3,4,4,1,7,490,272,0,1,407,2,0,2850,0.656140350877193,180500,12.103486056755072,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
56,57,8,5,4,2,8,0,1,3,3,4,5,4,0,6,1,7,649,456,0,1,115,3,1,2709,0.3309278350515464,172500,12.058152515453552,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
57,58,7,5,4,2,8,0,1,2,3,4,5,4,0,1,1,7,0,0,0,1,70,2,1,2580,1.0,196500,12.188417710291453,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
58,59,10,5,4,3,8,1,4,3,3,5,5,5,4,1,1,10,0,1031,0,1,229,3,1,4355,1.0,438780,12.991753427493052,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
59,60,5,7,3,1,8,0,3,1,3,3,5,3,0,5,1,4,632,0,0,1,196,1,0,1560,0.18974358974358974,124900,11.73526869611367,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
60,61,6,5,4,2,8,0,1,1,3,4,5,3,0,5,1,5,941,0,0,1,50,2,1,2316,0.18739205526770294,158000,11.970350312009105,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
61,62,5,7,2,1,8,0,1,1,3,3,3,3,0,1,1,6,0,0,0,1,144,1,0,1641,1.0,101000,11.522875795823397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
62,63,8,5,4,2,8,1,2,2,3,4,5,4,4,6,1,6,24,178,0,1,169,2,0,2740,0.9824817518248176,202500,12.218495165528731,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
63,64,7,6,3,2,8,0,1,1,3,3,4,3,0,1,1,9,0,0,0,1,87,2,0,2286,1.0,140000,11.84939770159144,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
64,65,7,5,4,2,8,0,1,2,3,4,5,3,0,6,1,8,739,573,0,1,612,3,1,3091,0.3008514664143803,219500,12.299107511497363,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
65,66,8,5,4,3,8,1,3,2,3,5,5,4,4,1,1,9,0,344,0,1,343,2,1,3616,1.0,317000,12.666657052859417,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
66,67,7,5,3,2,7,1,4,2,3,4,3,3,4,6,1,7,912,287,0,1,301,3,0,4154,0.5315870570107858,180000,12.100712129872347,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
