,OverallQual,KitchenQual,GarageCars,Functional,Fireplaces,BsmtExposure,GarageFinish,GarageQual,BsmtQual,HeatingQC,ExterQual,FireplaceQu,BsmtFinType1,BsmtFinType2,TotRmsAbvGrd,MasVnrArea,KitchenAbvGr,Outdoor_Rec,Total_Fullbath,Total_Halfbath,Total_House_Area,UnfBsmt,logSalePrice,CentralAir_y,PavedDrive_p,PavedDrive_y,Electrical_fusef,Electrical_fusep,Electrical_mix,Electrical_sbrkr
28,5,3,1,8,2,4,2,3,3,3,3,4,4,1,6,0,1,546,2,0,3084,0.13948787061994608,12.24288661865289,1,0,1,0,0,0,1
29,4,2,1,8,0,1,1,2,3,2,3,0,1,1,4,0,1,136,1,0,1040,1.0,11.134589024250317,0,0,1,0,0,0,1
30,4,3,1,8,0,1,1,3,3,3,3,0,1,1,6,0,1,226,1,0,1966,1.0,10.596634733096073,0,0,0,0,0,0,1
31,5,4,1,8,0,1,1,3,3,4,3,0,1,1,6,0,1,65,1,1,2456,1.0,11.914047823644257,1,0,1,0,0,0,1
32,8,4,2,8,0,3,2,3,5,5,4,0,1,1,7,0,1,30,2,0,2468,1.0,12.100156419938624,1,0,1,0,0,0,1
33,5,4,2,8,1,1,2,3,3,4,3,4,3,1,6,0,1,38,1,2,3098,0.2718168812589413,12.016726473799254,1,0,1,0,0,0,1
34,9,5,2,8,1,1,3,3,5,5,5,4,6,1,6,246,1,250,3,0,3122,0.26137091607943624,12.533576212168624,1,0,1,0,0,0,1
35,8,4,3,8,1,3,3,3,5,5,4,4,1,1,9,132,1,145,3,1,3569,1.0,12.641096555879884,1,0,1,0,0,0,1
36,5,3,2,8,0,1,1,3,4,5,3,0,1,1,6,0,1,456,1,1,2194,1.0,11.884489021402711,1,0,1,0,0,0,1
37,5,3,2,8,1,1,3,3,3,4,3,3,3,1,5,650,1,0,1,1,2594,0.06476484194294525,11.938193200374572,1,0,1,0,0,0,1
38,5,4,1,8,0,1,1,3,3,3,3,0,6,1,5,0,1,52,2,0,2114,0.30842005676442763,11.599103161211278,1,0,1,0,0,0,1
39,4,2,0,8,0,0,0,0,0,3,3,0,0,0,6,0,2,0,2,0,1152,0.0,11.314474526246393,0,0,0,0,1,0,0
40,6,3,2,8,1,1,2,3,3,5,3,3,3,1,6,101,1,138,2,0,2412,0.4090073529411765,11.982929094215965,1,0,1,0,0,0,1
41,5,3,1,8,2,4,2,3,3,4,3,4,4,1,5,0,1,104,1,2,2678,0.2837037037037037,12.0435537160324,1,1,0,0,0,0,1
42,5,4,2,8,0,3,2,3,4,4,3,0,5,2,5,0,1,240,2,0,1724,0.0,11.877568578558137,1,0,1,0,0,0,1
43,5,3,1,8,0,3,1,3,4,3,3,0,2,4,5,0,1,145,2,0,1876,0.17803837953091686,11.777210959615614,1,0,1,0,0,0,1
44,5,3,1,8,0,1,2,3,3,5,3,0,5,4,6,0,1,0,2,0,2300,0.4043478260869565,11.856515169360303,1,0,1,0,0,0,0
45,9,5,2,8,1,1,2,3,5,5,5,4,6,1,6,412,1,278,3,0,3504,0.7397260273972602,12.675763725937607,1,0,1,0,0,0,1
46,7,4,2,8,1,1,2,3,5,5,4,5,6,1,6,0,1,409,2,1,3583,0.05788005578800558,12.3870850123755,1,0,1,0,0,0,1
47,8,4,3,8,0,3,2,3,4,5,4,0,6,1,7,0,1,146,2,0,3312,0.9855072463768116,12.428015476267865,1,0,1,0,0,0,1
48,4,3,0,8,0,1,0,0,3,4,3,0,1,1,8,0,3,102,2,0,2188,1.0,11.635143097694476,1,0,0,0,0,0,1
49,5,3,1,8,0,1,1,3,3,5,3,0,4,1,6,0,1,0,2,0,1910,0.20104712041884815,11.751942365440726,1,0,1,0,0,0,1
50,6,3,2,8,0,3,3,3,4,4,3,0,6,1,6,0,1,75,2,1,2264,0.7707808564231738,12.083905011555967,1,0,1,0,0,0,1
51,6,3,2,8,1,1,1,3,3,3,3,4,1,1,6,0,1,112,1,0,1992,1.0,11.648330101976432,1,0,1,0,0,0,1
52,5,3,2,8,0,4,1,3,4,3,2,0,2,6,5,0,1,106,2,0,1632,0.0,11.608235644774554,0,0,1,0,0,0,1
53,9,4,3,8,1,4,3,3,5,4,4,4,6,1,5,0,1,929,2,1,3684,0.01737242128121607,12.86099861326992,1,0,1,0,0,0,1
54,5,3,2,7,1,1,1,3,3,3,3,3,5,1,6,0,1,50,1,0,1744,0.0,11.77528972943772,1,0,1,0,0,0,1
55,6,3,2,8,1,1,2,3,3,4,3,4,4,1,7,272,1,407,2,0,2850,0.656140350877193,12.103486056755074,1,0,1,0,0,0,1
56,8,4,2,8,0,1,3,3,4,5,4,0,6,1,7,456,1,115,3,1,2709,0.3309278350515464,12.058152515453553,1,0,1,0,0,0,1
57,7,4,2,8,0,1,2,3,4,5,4,0,1,1,7,0,1,70,2,1,2580,1.0,12.188417710291452,1,0,1,0,0,0,1
58,10,4,3,8,1,4,3,3,5,5,5,4,1,1,10,1031,1,229,3,1,4355,1.0,12.991753427493052,1,0,1,0,0,0,1
59,5,3,1,8,0,3,1,3,3,5,3,0,5,1,4,0,1,196,1,0,1560,0.18974358974358974,11.73526869611367,1,0,1,0,0,0,1
60,6,4,2,8,0,1,1,3,4,5,3,0,5,1,5,0,1,50,2,1,2316,0.18739205526770292,11.970350312009106,1,0,1,0,0,0,1
61,5,2,1,8,0,1,1,3,3,3,3,0,1,1,6,0,1,144,1,0,1641,1.0,11.522875795823396,0,0,0,0,0,0,1
62,8,4,2,8,1,2,2,3,4,5,4,4,6,1,6,178,1,169,2,0,2740,0.9824817518248176,12.218495165528731,1,0,1,0,0,0,1
63,7,3,2,8,0,1,1,3,3,4,3,0,1,1,9,0,1,87,2,0,2286,1.0,11.849397701591439,1,0,1,0,0,0,1
64,7,4,2,8,0,1,2,3,4,5,3,0,6,1,8,573,1,612,3,1,3091,0.3008514664143803,12.299107511497365,1,0,1,0,0,0,1
65,8,4,3,8,1,3,2,3,5,5,4,4,1,1,9,344,1,343,2,1,3616,1.0,12.666657052859414,1,0,1,0,0,0,1
66,7,3,2,7,1,4,2,3,4,3,3,4,6,1,7,287,1,301,3,0,4154,0.5315870570107858,12.100712129872349,1,0,1,0,0,0,1
67,7,4,2,8,0,3,2,3,4,5,4,0,6,1,7,167,1,173,3,0,2932,0.3028217481073641,12.328290278254425,1,0,1,0,0,0,1
68,4,3,1,8,0,1,1,3,3,3,3,0,1,1,4,0,1,0,1,0,1494,1.0,11.289781913656018,1,0,1,0,0,0,1
69,7,3,2,8,1,1,3,3,3,3,4,3,4,1,7,0,1,135,2,0,3591,0.5375766871165644,12.323855681186556,1,0,1,0,0,0,1
70,7,3,2,8,2,4,3,3,4,5,3,4,5,1,8,1115,1,300,3,0,4446,0.15429599640125954,12.404923504275338,1,0,1,0,0,0,1
71,4,3,2,8,0,1,1,3,3,3,3,0,5,1,4,0,1,0,2,0,1690,0.33136094674556216,11.771436160121727,1,0,1,0,0,0,1
72,7,3,2,8,1,1,3,3,4,4,3,3,1,1,7,40,1,385,2,1,2550,1.0,12.128111104060464,1,0,1,0,0,0,1
73,5,3,2,8,0,1,1,3,3,4,3,0,5,4,6,104,1,0,2,0,2172,0.3720073664825046,11.883799128308773,1,0,1,0,0,0,1
74,3,3,1,8,0,1,1,3,2,4,4,0,1,1,8,0,2,202,2,0,2445,1.0,11.5843154610569,0,0,1,0,0,0,1
75,4,3,1,8,0,4,1,3,4,3,3,0,6,1,5,0,1,221,2,0,1450,0.0,11.418614785498988,1,0,1,0,0,0,1
76,4,3,1,8,0,1,1,3,3,5,3,0,5,1,4,0,1,0,1,0,1904,0.7605042016806722,11.818570237796182,1,0,1,0,0,0,0
77,5,3,1,7,0,1,1,3,3,3,3,0,4,6,6,0,1,0,2,0,1957,0.4389880952380952,11.751942365440726,1,0,1,0,0,0,1
78,4,3,0,8,0,1,0,0,3,3,3,0,1,1,8,0,2,0,2,0,3536,1.0,11.824079893607152,0,0,1,0,0,0,1
79,5,3,2,8,0,1,1,3,3,4,3,0,1,1,5,0,1,202,1,1,1670,1.0,11.608235644774554,1,0,1,0,0,0,1
80,6,4,1,8,1,1,3,3,4,3,3,4,3,1,8,576,1,324,2,1,3038,0.5,12.173032791451972,1,0,1,0,0,0,1
81,6,3,2,8,0,1,3,3,5,5,3,0,6,1,5,443,1,199,3,0,2574,0.02910266774454325,11.941455846009385,1,0,1,0,0,0,1
82,8,4,3,8,1,1,2,3,4,5,3,4,6,1,6,468,1,243,2,0,3126,0.9788867562380038,12.409013489526865,1,0,1,0,0,0,1
83,5,3,2,8,0,1,1,3,3,4,3,0,1,1,6,66,1,74,1,1,2130,1.0,11.747997587149714,1,0,1,0,0,0,1
84,7,3,2,8,1,1,3,3,4,4,3,3,1,1,7,22,1,192,2,1,1858,1.0,12.034691028774553,1,0,1,0,0,0,1
85,8,4,2,8,1,1,1,3,4,5,4,3,1,1,9,284,1,209,2,1,3705,1.0,12.468436909997664,1,0,1,0,0,0,1
86,6,4,2,8,1,3,3,3,4,5,4,4,1,1,6,0,1,138,2,1,2244,1.0,12.066810578196664,1,0,1,0,0,0,1
87,6,4,2,8,0,3,2,3,4,5,4,0,1,1,4,76,1,234,2,1,1836,1.0,12.010665849187564,1,0,1,0,0,0,1
88,3,2,0,8,0,1,0,0,3,3,2,0,1,1,6,0,1,156,1,0,2539,1.0,11.350406535472453,0,0,0,0,0,0,1
89,4,3,0,8,0,1,0,0,4,5,3,0,6,1,5,0,1,0,2,0,1980,0.4060606060606061,11.724805824005726,1,0,1,0,0,0,1
90,4,3,2,8,0,0,1,3,0,3,3,0,0,0,4,0,1,29,1,0,1040,0.0,11.607326140391713,1,0,1,0,0,0,0
91,5,3,2,8,0,1,1,3,3,3,3,0,3,1,6,203,1,0,1,0,2470,0.5141700404858299,11.498826540590727,1,0,1,0,0,0,1
92,5,3,2,8,0,1,1,3,4,5,3,0,5,1,5,0,1,44,2,0,1840,0.1860730593607306,12.004568269319446,1,0,1,0,0,0,1
93,6,3,2,8,1,2,1,3,3,5,3,4,3,1,9,0,2,99,2,1,3505,0.13838550247116968,11.804848531679266,0,0,1,0,0,0,1
94,6,4,2,8,0,1,2,3,4,5,3,0,6,1,7,0,1,162,3,1,2610,0.21359223300970875,12.229545001715314,1,0,1,0,0,0,1
95,6,3,2,8,1,1,3,3,4,4,5,3,5,1,6,68,1,295,2,1,2150,0.5441176470588235,12.128111104060464,1,0,1,0,0,0,1
96,7,4,2,8,0,3,2,3,4,5,4,0,5,1,6,183,1,187,2,0,3176,0.2682619647355164,12.273731294003987,1,0,1,0,0,0,1
97,4,3,1,8,0,1,3,3,3,3,3,0,3,1,6,48,1,120,2,0,1920,0.4583333333333333,11.458997122944671,1,1,0,1,0,0,0
98,5,3,1,8,0,1,1,2,3,2,3,0,5,1,5,0,1,77,1,0,1293,0.7641921397379913,11.326595886778733,0,0,1,0,0,0,1
99,4,3,0,8,0,1,0,0,3,2,3,0,5,1,6,0,1,352,2,1,2175,0.4010526315789474,11.76718001130949,1,0,1,0,0,0,1
100,6,4,2,8,2,2,2,3,3,4,3,3,5,1,6,28,1,236,3,0,3220,0.2546583850931677,12.230765258120543,1,0,1,0,0,0,1
101,6,4,2,8,1,1,3,3,4,3,4,3,1,1,7,336,1,238,2,1,2473,1.0,12.089538829274224,1,0,1,0,0,0,1
102,5,3,2,8,0,0,1,3,0,3,3,0,0,0,8,0,2,0,2,0,1535,0.0,11.686576205316554,1,0,1,0,0,0,1
103,7,4,3,8,0,1,2,3,4,5,3,0,1,1,6,0,1,36,2,0,2452,1.0,12.200557464842065,1,0,1,0,0,0,1
104,7,3,1,8,2,1,1,3,3,5,3,3,2,1,7,600,1,184,1,1,2858,0.7846153846153846,12.040608205802641,1,0,1,1,0,0,0
105,8,4,2,8,1,1,2,3,5,5,4,4,1,1,9,768,1,185,2,1,3045,1.0,12.429216196844385,1,0,1,0,0,0,1
106,4,3,1,8,0,1,1,2,2,4,3,0,1,1,6,0,1,0,1,0,1688,1.0,11.512925464970227,1,0,0,0,0,0,1
107,5,3,1,8,0,1,1,3,3,5,3,0,5,4,5,0,1,0,1,0,1578,0.6539923954372624,11.652687407345386,1,0,1,0,0,0,1
108,5,2,0,8,0,1,0,0,3,3,3,0,1,1,7,0,1,144,2,0,2310,1.0,11.652687407345386,0,0,0,1,0,0,0
109,6,3,2,8,1,1,2,3,4,5,3,3,4,1,7,480,1,122,2,0,3688,0.6176789587852495,12.154779351142626,1,0,1,0,0,0,1
110,6,3,1,8,0,1,1,3,3,4,3,0,3,1,7,0,1,182,2,0,2849,0.5533199195171026,11.827006011276538,1,0,1,0,0,0,1
111,7,3,2,8,1,1,3,3,4,5,3,3,6,1,7,0,1,180,2,1,1814,0.3489583333333333,12.100712129872349,1,0,1,0,0,0,1
112,7,5,3,8,1,3,3,3,5,5,4,4,6,1,10,220,1,472,3,1,3960,0.2215189873417721,12.858319703517948,1,0,1,0,0,0,1
113,6,4,2,8,2,2,1,3,4,3,3,4,5,3,7,184,1,478,3,0,4068,0.5002763957987839,12.287652632522596,1,0,1,0,0,0,1
114,6,4,1,8,1,1,1,3,3,5,3,3,5,2,9,0,1,224,3,1,3348,0.10116731517509728,12.46651198158808,1,0,1,0,0,0,1
115,6,3,2,8,1,1,1,3,4,4,3,2,6,1,5,1129,1,32,2,1,2187,0.4252400548696845,12.078239274020287,1,0,1,0,0,0,1
116,5,3,1,8,1,1,1,3,3,3,3,1,2,4,6,116,1,164,1,1,2184,0.2307692307692308,11.842229212112827,1,0,1,0,0,0,1
117,5,3,2,8,0,1,1,3,4,4,3,0,1,1,5,0,1,144,1,1,2250,1.0,11.951180395901384,1,0,1,0,0,0,1
118,7,4,3,8,2,2,1,3,4,4,3,3,6,1,11,0,1,367,4,0,4895,0.1213389121338912,12.676076274775909,1,0,1,0,0,0,1
119,6,4,2,8,1,1,3,3,4,5,4,4,1,1,8,0,1,24,2,1,2184,1.0,12.007560729337492,1,0,1,0,0,0,1
120,6,3,2,8,2,4,1,3,3,5,3,3,5,1,4,0,1,260,2,0,1926,0.0,12.100712129872349,1,0,1,0,0,0,1
121,4,3,1,8,0,1,1,3,3,4,3,0,1,1,4,0,1,140,1,0,1855,1.0,11.512925464970227,1,1,0,0,0,0,1
122,6,3,1,8,0,1,1,3,3,4,3,0,4,1,5,135,1,130,1,0,2160,0.4722222222222222,11.820410164718187,1,0,1,0,0,0,1
123,6,4,2,8,0,1,2,3,4,5,4,0,6,1,5,0,1,63,2,0,2398,0.749791492910759,11.94405831982697,1,0,1,0,0,0,1
124,6,3,2,8,1,1,1,3,4,3,3,3,1,1,7,0,1,192,2,0,2948,1.0,12.106252310247962,1,0,1,0,0,0,1
125,6,3,0,8,0,3,0,0,3,4,3,0,6,1,5,0,1,53,2,0,1274,0.0576923076923077,11.344506813345266,0,0,0,0,0,0,1
126,6,3,2,8,1,1,2,3,4,3,3,3,5,1,5,0,1,205,2,0,2036,0.8886827458256029,11.759785542901756,1,0,1,0,0,0,1
127,5,3,0,8,1,1,0,0,3,5,3,3,2,1,5,0,1,0,1,0,1512,0.8273809523809523,11.37366339763672,1,0,0,0,0,0,1
128,6,3,2,8,1,1,2,3,3,3,3,2,4,1,6,266,1,296,1,1,2008,0.22424242424242424,11.951180395901384,1,0,1,0,0,0,1
129,5,5,2,8,0,1,2,3,3,3,3,0,3,4,6,85,1,260,1,2,2061,0.4097222222222222,11.918390573078392,1,0,1,0,0,0,0
130,7,4,2,8,2,1,3,3,3,5,3,4,3,1,8,309,1,171,2,1,3081,0.5183982683982684,12.328290278254425,1,0,1,0,0,0,1
131,6,4,2,8,1,1,2,3,4,5,4,3,6,1,7,40,1,72,3,1,3046,0.29939516129032256,12.404923504275338,1,0,1,0,0,0,1
132,5,4,2,8,0,1,1,3,3,4,3,0,3,1,7,0,1,0,2,0,2390,0.6190028222013171,11.92337811458943,1,0,1,0,0,0,1
133,8,4,2,8,0,1,3,3,5,5,4,0,6,1,6,136,1,217,3,0,2563,0.2067876874506709,12.3013828253345,1,0,1,0,0,0,1
134,5,3,2,7,1,1,2,3,3,4,3,3,3,1,7,0,1,276,2,1,3182,0.6098562628336756,12.100712129872349,1,0,1,0,0,0,1
135,7,3,2,8,1,1,1,3,3,4,3,4,1,1,7,288,1,98,2,0,2986,1.0,12.066810578196664,1,0,1,0,0,0,1
136,5,3,1,8,1,1,2,3,3,3,3,2,4,1,5,196,1,111,2,0,2428,0.4275123558484349,11.870599909242046,1,0,1,0,0,0,1
137,7,3,3,8,0,1,1,3,3,4,3,0,1,1,9,70,2,0,3,0,3866,1.0,12.049418835484795,1,0,1,0,0,0,1
138,8,4,3,8,2,2,3,3,4,5,4,3,6,1,7,320,1,330,2,1,2856,0.3346613545816733,12.345834587905333,1,0,1,0,0,0,1
139,6,4,2,8,0,1,2,3,4,5,3,0,6,1,7,0,1,375,3,1,2692,0.11530172413793105,12.352335152508426,1,0,1,0,0,0,1
140,4,3,0,8,1,1,0,0,3,3,3,1,5,1,5,0,1,0,1,0,1728,0.5,11.652687407345386,1,0,1,0,0,0,1
141,7,4,2,8,0,3,3,3,4,5,4,0,6,1,7,0,1,184,3,0,3468,0.2502883506343714,12.468436909997664,1,0,1,0,0,0,1
142,5,3,2,8,0,1,1,3,3,2,3,0,3,1,6,0,1,0,2,0,2295,0.4428571428571429,12.019743067338679,1,0,1,0,0,0,1
143,7,4,2,8,0,4,2,3,4,5,4,0,6,1,6,183,1,173,3,0,2991,0.5442953020134228,12.225875272826354,1,0,1,0,0,0,1
144,5,3,2,8,0,1,1,3,3,3,3,0,3,1,10,336,2,0,3,0,3456,0.22916666666666666,11.736069016284436,1,0,1,0,0,0,1
145,6,4,2,4,0,1,1,3,4,5,4,0,1,1,7,50,1,40,2,0,2679,1.0,11.77528972943772,1,0,1,0,0,0,1
146,5,3,1,8,0,1,1,2,3,3,3,0,4,1,5,0,1,48,2,0,1590,0.7076923076923077,11.561715629139659,1,0,1,0,0,0,0
147,7,4,2,8,1,1,3,3,4,5,4,4,1,1,8,180,1,192,2,1,2919,1.0,12.31268238058843,1,0,1,0,0,0,1
148,7,4,0,8,0,1,0,0,4,5,3,0,6,1,6,120,1,0,2,0,2160,0.3703703703703704,11.856515169360303,1,0,1,0,0,0,1
149,5,3,1,8,0,1,1,2,4,4,3,0,1,1,7,0,1,314,1,0,2240,1.0,11.652687407345386,1,0,1,0,0,0,0
150,5,3,2,8,0,3,1,3,3,3,3,0,4,1,5,0,1,0,1,1,1938,0.26109391124871,11.711776323715393,1,0,1,0,0,0,1
151,8,4,3,8,1,4,2,3,5,5,4,4,6,1,6,436,1,102,3,0,3420,0.18128654970760236,12.82772919493991,1,0,1,0,0,0,1
152,6,3,2,8,1,1,2,3,3,4,3,4,3,1,8,252,1,66,2,1,2818,0.4957575757575757,12.154779351142626,1,0,1,0,0,0,1
153,6,3,2,8,1,4,2,3,4,4,3,4,4,5,4,0,1,409,2,0,2854,0.058052434456928835,12.367340793126294,1,0,1,0,0,0,1
154,6,3,1,8,0,1,1,2,3,3,3,0,1,1,7,0,1,228,1,0,2400,1.0,11.736069016284436,1,0,1,0,0,0,0
155,6,3,0,8,0,1,0,0,3,2,3,0,1,1,5,0,1,136,1,0,1668,1.0,11.277203131449161,0,0,0,1,0,0,0
156,5,3,2,8,0,0,1,3,0,3,3,0,0,0,5,0,1,0,1,0,1040,0.0,11.603679828238691,1,0,1,1,0,0,0
157,8,5,3,8,1,1,3,3,5,5,4,4,1,1,8,84,1,75,2,1,2742,1.0,12.504323669331189,1,0,1,0,0,0,1
158,7,4,2,8,1,1,2,3,4,5,4,4,6,1,8,0,1,136,2,1,2938,0.7759838546922301,12.448626590364206,1,0,1,0,0,0,1
159,7,4,2,8,1,2,2,3,4,5,4,4,6,1,9,456,1,539,3,1,3854,0.9590517241379308,12.676076274775909,1,0,1,0,0,0,1
160,6,3,2,8,0,1,1,3,4,3,3,0,4,1,6,0,1,0,2,0,2464,0.4642857142857143,11.998433280751927,1,0,1,0,0,0,1
161,9,5,3,8,2,3,3,3,5,5,4,4,6,1,10,664,1,400,3,1,4240,0.35368956743002544,12.929991484756872,1,0,1,0,0,0,1
162,7,4,2,8,1,2,2,3,4,5,4,4,4,1,7,226,1,70,2,0,3082,0.22063595068137573,12.3013828253345,1,0,1,0,0,0,1
163,4,3,0,8,0,1,0,0,3,5,3,0,1,1,4,0,1,0,1,0,1764,1.0,11.5444241320296,1,0,1,0,0,0,1
164,6,4,1,8,0,2,1,3,3,4,3,0,2,1,5,0,1,183,2,0,2765,0.6779808529155787,11.931635799828413,1,0,1,0,0,0,0
165,5,3,0,8,0,1,0,0,3,4,3,0,5,3,6,0,2,140,3,0,1999,0.17391304347826084,11.755871643580615,1,0,1,0,0,0,1
166,5,3,1,8,3,1,3,3,3,5,4,4,2,4,7,0,1,618,2,0,3484,0.2906617192331478,12.154779351142626,1,0,1,0,0,0,0
167,8,5,3,8,1,1,3,3,5,5,4,4,6,1,8,300,1,298,2,1,3743,0.18584070796460175,12.693498620467777,1,0,1,0,0,0,1
168,7,4,2,8,1,1,3,3,4,5,4,4,1,1,7,0,1,148,2,1,2560,1.0,12.11996994647676,1,0,1,0,0,0,1
169,8,3,2,8,1,1,2,3,4,3,4,3,1,1,6,653,1,638,2,1,3393,1.0,12.337100907936573,1,0,1,0,0,0,1
170,5,3,2,8,0,1,1,3,3,3,3,0,3,1,7,0,1,237,1,1,2102,0.5,11.76368418331741,1,0,1,0,0,0,1
171,6,3,2,8,2,4,3,3,3,2,3,4,4,1,7,112,1,272,2,0,2736,0.4083333333333333,12.278393307109802,1,1,0,0,0,0,1
172,7,4,2,8,1,1,2,4,4,4,4,3,6,3,5,0,1,476,3,0,2831,0.33270676691729323,12.384218830913648,1,0,1,0,0,0,1
173,6,3,2,8,1,1,1,3,3,3,3,3,5,3,6,491,1,20,2,1,2724,0.5139500734214391,12.0015054797889,1,0,1,0,0,0,1
174,6,3,2,6,1,1,3,3,4,3,3,3,5,2,7,132,1,192,3,0,3257,0.0,12.122691036591124,1,0,1,0,0,0,1
175,6,4,2,8,1,3,1,3,3,3,3,4,5,1,7,0,1,68,3,0,3360,0.6031613976705491,12.400816722322686,1,0,1,0,0,0,1
176,6,3,2,8,1,1,1,3,4,3,4,3,6,1,8,268,1,420,2,2,3211,0.27801911381407474,12.259613412458204,1,0,1,0,0,0,1
177,5,4,2,8,1,1,1,3,3,5,4,4,5,4,8,0,1,0,3,0,2972,0.5266159695817489,12.058152515453553,1,0,1,0,0,0,1
178,9,5,3,8,1,1,3,3,5,5,5,4,6,1,9,748,1,60,3,0,4450,0.1407942238267148,13.126030644751802,1,0,1,0,0,0,1
179,5,3,2,8,0,1,1,2,3,3,4,0,1,1,5,0,1,184,1,0,1936,1.0,11.512925464970227,1,0,0,0,0,0,1
180,6,4,2,8,1,1,1,3,4,5,4,3,6,1,5,456,1,0,2,1,2281,0.4232804232804233,12.083905011555967,1,0,1,0,0,0,1
181,7,3,1,8,1,1,1,2,2,4,3,4,2,1,9,0,1,40,1,1,2595,0.5561160151324086,12.206572520571823,1,0,1,0,0,0,1
