Id,OverallQual,OverallCond,KitchenQual,GarageCars,Functional,Fireplaces,BsmtExposure,GarageFinish,GarageQual,BsmtQual,HeatingQC,ExterQual,FireplaceQu,BsmtFinType1,BsmtFinType2,TotRmsAbvGrd,BsmtFinSF1,MasVnrArea,BsmtFinSF2,KitchenAbvGr,Outdoor_Rec,Total_Fullbath,Total_Halfbath,Total_House_Area,FinBsmt,SalePrice,logSalePrice,CentralAir_y,PavedDrive_p,PavedDrive_y
54,9,5,4,3,8,1,4,3,3,5,4,4,4,6,1,5,1810,0,0,1,929,2,1,3684,0.9826275787187839,385000,12.86099861326992,1,0,1
55,5,5,3,2,7,1,1,1,3,3,3,3,3,5,1,6,384,0,0,1,50,1,0,1744,1.0,130000,11.77528972943772,1,0,1
56,6,5,3,2,8,1,1,2,3,3,4,3,4,4,1,7,490,272,0,1,407,2,0,2850,0.343859649122807,180500,12.103486056755072,1,0,1
57,8,5,4,2,8,0,1,3,3,4,5,4,0,6,1,7,649,456,0,1,115,3,1,2709,0.6690721649484537,172500,12.058152515453552,1,0,1
58,7,5,4,2,8,0,1,2,3,4,5,4,0,1,1,7,0,0,0,1,70,2,1,2580,0.0,196500,12.188417710291453,1,0,1
59,10,5,4,3,8,1,4,3,3,5,5,5,4,1,1,10,0,1031,0,1,229,3,1,4355,0.0,438780,12.991753427493052,1,0,1
60,5,7,3,1,8,0,3,1,3,3,5,3,0,5,1,4,632,0,0,1,196,1,0,1560,0.8102564102564103,124900,11.73526869611367,1,0,1
61,6,5,4,2,8,0,1,1,3,4,5,3,0,5,1,5,941,0,0,1,50,2,1,2316,0.812607944732297,158000,11.970350312009105,1,0,1
62,5,7,2,1,8,0,1,1,3,3,3,3,0,1,1,6,0,0,0,1,144,1,0,1641,0.0,101000,11.522875795823397,0,0,0
63,8,5,4,2,8,1,2,2,3,4,5,4,4,6,1,6,24,178,0,1,169,2,0,2740,0.017518248175182438,202500,12.218495165528731,1,0,1
64,7,6,3,2,8,0,1,1,3,3,4,3,0,1,1,9,0,0,0,1,87,2,0,2286,0.0,140000,11.84939770159144,1,0,1
65,7,5,4,2,8,0,1,2,3,4,5,3,0,6,1,8,739,573,0,1,612,3,1,3091,0.6991485335856197,219500,12.299107511497363,1,0,1
66,8,5,4,3,8,1,3,2,3,5,5,4,4,1,1,9,0,344,0,1,343,2,1,3616,0.0,317000,12.666657052859417,1,0,1
67,7,5,3,2,7,1,4,2,3,4,3,3,4,6,1,7,912,287,0,1,301,3,0,4154,0.4684129429892142,180000,12.100712129872347,1,0,1
68,7,5,4,2,8,0,3,2,3,4,5,4,0,6,1,7,1013,167,0,1,173,3,0,2932,0.6971782518926359,226000,12.328290278254423,1,0,1
69,4,6,3,1,8,0,1,1,3,3,3,3,0,1,1,4,0,0,0,1,0,1,0,1494,0.0,80000,11.289781913656018,1,0,1
70,7,4,3,2,8,1,1,3,3,3,3,4,3,4,1,7,603,0,0,1,135,2,0,3591,0.46242331288343563,225000,12.323855681186558,1,0,1
71,7,6,3,2,8,2,4,3,3,4,5,3,4,5,1,8,1880,1115,0,1,300,3,0,4446,0.8457040035987404,244000,12.404923504275338,1,0,1
72,4,6,3,2,8,0,1,1,3,3,3,3,0,5,1,4,565,0,0,1,0,2,0,1690,0.6686390532544378,129500,11.771436160121729,1,0,1
73,7,5,3,2,8,1,1,3,3,4,4,3,3,1,1,7,0,40,0,1,385,2,1,2550,0.0,185000,12.128111104060462,1,0,1
74,5,7,3,2,8,0,1,1,3,3,4,3,0,5,4,6,320,104,362,1,0,2,0,2172,0.6279926335174955,144900,11.883799128308773,1,0,1
75,3,6,3,1,8,0,1,1,3,2,4,4,0,1,1,8,0,0,0,2,202,2,0,2445,0.0,107400,11.584315461056901,0,0,1
76,4,5,3,1,8,0,4,1,3,4,3,3,0,6,1,5,462,0,0,1,221,2,0,1450,1.0,91000,11.418614785498987,1,0,1
77,4,7,3,1,8,0,1,1,3,3,5,3,0,5,1,4,228,0,0,1,0,1,0,1904,0.23949579831932777,135750,11.818570237796182,1,0,1
78,5,5,3,1,7,0,1,1,3,3,3,3,0,4,6,6,336,0,41,1,0,2,0,1957,0.5610119047619048,127000,11.751942365440728,1,0,1
79,4,5,3,0,8,0,1,0,0,3,3,3,0,1,1,8,0,0,0,2,0,2,0,3536,0.0,136500,11.824079893607152,0,0,1
80,5,6,3,2,8,0,1,1,3,3,4,3,0,1,1,5,0,0,0,1,202,1,1,1670,0.0,110000,11.608235644774552,1,0,1
81,6,6,4,1,8,1,1,3,3,4,3,3,4,3,1,8,448,576,0,1,324,2,1,3038,0.5,193500,12.173032791451973,1,0,1
82,6,5,3,2,8,0,1,3,3,5,5,3,0,6,1,5,1201,443,0,1,199,3,0,2574,0.9708973322554567,153500,11.941455846009388,1,0,1
83,8,5,4,3,8,1,1,2,3,4,5,3,4,6,1,6,33,468,0,1,243,2,0,3126,0.021113243761996192,245000,12.409013489526863,1,0,1
84,5,5,3,2,8,0,1,1,3,3,4,3,0,1,1,6,0,66,0,1,74,1,1,2130,0.0,126500,11.747997587149712,1,0,1
85,7,5,3,2,8,1,1,3,3,4,4,3,3,1,1,7,0,22,0,1,192,2,1,1858,0.0,168500,12.034691028774553,1,0,1
86,8,5,4,2,8,1,1,1,3,4,5,4,3,1,1,9,0,284,0,1,209,2,1,3705,0.0,260000,12.468436909997665,1,0,1
87,6,5,4,2,8,1,3,3,3,4,5,4,4,1,1,6,0,0,0,1,138,2,1,2244,0.0,174000,12.066810578196666,1,0,1
88,6,5,4,2,8,0,3,2,3,4,5,4,0,1,1,4,0,76,0,1,234,2,1,1836,0.0,164500,12.010665849187564,1,0,1
89,3,2,2,0,8,0,1,0,0,3,3,2,0,1,1,6,0,0,0,1,156,1,0,2539,0.0,85000,11.350406535472453,0,0,0
90,4,5,3,0,8,0,1,0,0,4,5,3,0,6,1,5,588,0,0,1,0,2,0,1980,0.593939393939394,123600,11.724805824005728,1,0,1
91,4,5,3,2,8,0,0,1,3,0,3,3,0,0,0,4,0,0,0,1,29,1,0,1040,0.0,109900,11.607326140391713,1,0,1
92,5,3,3,2,8,0,1,1,3,3,3,3,0,3,1,6,600,203,0,1,0,1,0,2470,0.4858299595141701,98600,11.498826540590727,1,0,1
93,5,7,3,2,8,0,1,1,3,4,5,3,0,5,1,5,713,0,0,1,44,2,0,1840,0.8139269406392694,163500,12.004568269319446,1,0,1
94,6,6,3,2,8,1,2,1,3,3,5,3,4,3,1,9,1046,0,0,2,99,2,1,3505,0.8616144975288303,133900,11.804848531679264,0,0,1
95,6,5,4,2,8,0,1,2,3,4,5,3,0,6,1,7,648,0,0,1,162,3,1,2610,0.7864077669902912,204750,12.229545001715316,1,0,1
96,6,8,3,2,8,1,1,3,3,4,4,5,3,5,1,6,310,68,0,1,295,2,1,2150,0.4558823529411765,185000,12.128111104060462,1,0,1
97,7,5,4,2,8,0,3,2,3,4,5,4,0,5,1,6,1162,183,0,1,187,2,0,3176,0.7317380352644836,214000,12.273731294003989,1,0,1
98,4,5,3,1,8,0,1,3,3,3,3,3,0,3,1,6,520,48,0,1,120,2,0,1920,0.5416666666666667,94750,11.458997122944673,1,1,0
99,5,5,3,1,8,0,1,1,2,3,2,3,0,5,1,5,108,0,0,1,77,1,0,1293,0.23580786026200873,83000,11.326595886778735,0,0,1
100,4,5,3,0,8,0,1,0,0,3,2,3,0,5,1,6,569,0,0,1,352,2,1,2175,0.5989473684210527,128950,11.76718001130949,1,0,1
101,6,7,4,2,8,2,2,2,3,3,4,3,3,5,1,6,1200,28,0,1,236,3,0,3220,0.7453416149068324,205000,12.230765258120545,1,0,1
102,6,5,4,2,8,1,1,3,3,4,3,4,3,1,1,7,0,336,0,1,238,2,1,2473,0.0,178000,12.089538829274222,1,0,1
103,5,5,3,2,8,0,0,1,3,0,3,3,0,0,0,8,0,0,0,2,0,2,0,1535,0.0,118964,11.686576205316552,1,0,1
104,7,5,4,3,8,0,1,2,3,4,5,3,0,1,1,6,0,0,0,1,36,2,0,2452,0.0,198900,12.200557464842063,1,0,1
105,7,4,3,1,8,2,1,1,3,3,5,3,3,2,1,7,224,600,0,1,184,1,1,2858,0.2153846153846154,169500,12.040608205802641,1,0,1
106,8,5,4,2,8,1,1,2,3,5,5,4,4,1,1,9,0,768,0,1,185,2,1,3045,0.0,250000,12.429216196844383,1,0,1
107,4,7,3,1,8,0,1,1,2,2,4,3,0,1,1,6,0,0,0,1,0,1,0,1688,0.0,100000,11.512925464970229,1,0,0
108,5,5,3,1,8,0,1,1,3,3,5,3,0,5,4,5,104,0,169,1,0,1,0,1578,0.3460076045627376,115000,11.652687407345388,1,0,1
109,5,7,2,0,8,0,1,0,0,3,3,3,0,1,1,7,0,0,0,1,144,2,0,2310,0.0,115000,11.652687407345388,0,0,0
110,6,6,3,2,8,1,1,2,3,4,5,3,3,4,1,7,705,480,0,1,122,2,0,3688,0.3823210412147505,190000,12.154779351142624,1,0,1
111,6,4,3,1,8,0,1,1,3,3,4,3,0,3,1,7,444,0,0,1,182,2,0,2849,0.4466800804828974,136900,11.82700601127654,1,0,1
112,7,5,3,2,8,1,1,3,3,4,5,3,3,6,1,7,250,0,0,1,180,2,1,1814,0.6510416666666667,180000,12.100712129872347,1,0,1
113,7,5,5,3,8,1,3,3,3,5,5,4,4,6,1,10,984,220,0,1,472,3,1,3960,0.7784810126582279,383970,12.858319703517948,1,0,1
114,6,5,4,2,8,2,2,1,3,4,3,3,4,5,3,7,35,184,869,1,478,3,0,4068,0.4997236042012161,217000,12.287652632522597,1,0,1
115,6,8,4,1,8,1,1,1,3,3,5,3,3,5,2,9,774,0,150,1,224,3,1,3348,0.8988326848249028,259500,12.46651198158808,1,0,1
116,6,5,3,2,8,1,1,1,3,4,4,3,2,6,1,5,419,1129,0,1,32,2,1,2187,0.5747599451303155,176000,12.078239274020289,1,0,1
117,5,5,3,1,8,1,1,1,3,3,3,3,1,2,4,6,170,116,670,1,164,1,1,2184,0.7692307692307692,139000,11.842229212112828,1,0,1
118,5,5,3,2,8,0,1,1,3,4,4,3,0,1,1,5,0,0,0,1,144,1,1,2250,0.0,155000,11.951180395901384,1,0,1
119,7,5,4,3,8,2,2,1,3,4,4,3,3,6,1,11,1470,0,0,1,367,4,0,4895,0.8786610878661087,320000,12.676076274775909,1,0,1
120,6,5,4,2,8,1,1,3,3,4,5,4,4,1,1,8,0,0,0,1,24,2,1,2184,0.0,163990,12.007560729337492,1,0,1
121,6,5,3,2,8,2,4,1,3,3,5,3,3,5,1,4,938,0,0,1,260,2,0,1926,1.0,180000,12.100712129872347,1,0,1
122,4,5,3,1,8,0,1,1,3,3,4,3,0,1,1,4,0,0,0,1,140,1,0,1855,0.0,100000,11.512925464970229,1,1,0
123,6,7,3,1,8,0,1,1,3,3,4,3,0,4,1,5,570,135,0,1,130,1,0,2160,0.5277777777777778,136000,11.820410164718188,1,0,1
124,6,5,4,2,8,0,1,2,3,4,5,4,0,6,1,5,300,0,0,1,63,2,0,2398,0.25020850708924103,153900,11.94405831982697,1,0,1
125,6,5,3,2,8,1,1,1,3,4,3,3,3,1,1,7,0,0,0,1,192,2,0,2948,0.0,181000,12.106252310247962,1,0,1
126,6,8,3,0,8,0,3,0,0,3,4,3,0,6,1,5,490,0,0,1,53,2,0,1274,0.9423076923076923,84500,11.344506813345266,0,0,0
127,6,5,3,2,8,1,1,2,3,4,3,3,3,5,1,5,120,0,0,1,205,2,0,2036,0.11131725417439708,128000,11.759785542901755,1,0,1
128,5,7,3,0,8,1,1,0,0,3,5,3,3,2,1,5,116,0,0,1,0,1,0,1512,0.17261904761904767,87000,11.37366339763672,1,0,0
129,6,5,3,2,8,1,1,2,3,3,3,3,2,4,1,6,512,266,0,1,296,1,1,2008,0.7757575757575758,155000,11.951180395901384,1,0,1
130,5,7,5,2,8,0,1,2,3,3,3,3,0,3,4,6,567,85,28,1,260,1,2,2061,0.5902777777777778,150000,11.918390573078392,1,0,1
131,7,6,4,2,8,2,1,3,3,3,5,3,4,3,1,8,445,309,0,1,171,2,1,3081,0.4816017316017316,226000,12.328290278254423,1,0,1
132,6,5,4,2,8,1,1,2,3,4,5,4,3,6,1,7,695,40,0,1,72,3,1,3046,0.7006048387096775,244000,12.404923504275338,1,0,1
133,5,6,4,2,8,0,1,1,3,3,4,3,0,3,1,7,405,0,0,1,0,2,0,2390,0.3809971777986829,150750,11.923378114589433,1,0,1
134,8,5,4,2,8,0,1,3,3,5,5,4,0,6,1,6,1005,136,0,1,217,3,0,2563,0.7932123125493291,220000,12.301382825334498,1,0,1
135,5,6,3,2,7,1,1,2,3,3,4,3,3,3,1,7,570,0,0,1,276,2,1,3182,0.39014373716632444,180000,12.100712129872347,1,0,1
136,7,6,3,2,8,1,1,1,3,3,4,3,4,1,1,7,0,288,0,1,98,2,0,2986,0.0,174000,12.066810578196666,1,0,1
137,5,5,3,1,8,1,1,2,3,3,3,3,2,4,1,5,695,196,0,1,111,2,0,2428,0.5724876441515651,143000,11.870599909242044,1,0,1
138,7,5,3,3,8,0,1,1,3,3,4,3,0,1,1,9,0,70,0,2,0,3,0,3866,0.0,171000,12.049418835484797,1,0,1
139,8,5,4,3,8,2,2,3,3,4,5,4,3,6,1,7,668,320,0,1,330,2,1,2856,0.6653386454183268,230000,12.345834587905333,1,0,1
140,6,5,4,2,8,0,1,2,3,4,5,3,0,6,1,7,821,0,0,1,375,3,1,2692,0.884698275862069,231500,12.352335152508426,1,0,1
141,4,5,3,0,8,1,1,0,0,3,3,3,1,5,1,5,432,0,0,1,0,1,0,1728,0.5,115000,11.652687407345388,1,0,1
142,7,5,4,2,8,0,3,3,3,4,5,4,0,6,1,7,1300,0,0,1,184,3,0,3468,0.7497116493656286,260000,12.468436909997665,1,0,1
143,5,4,3,2,8,0,1,1,3,3,2,3,0,3,1,6,507,0,0,1,0,2,0,2295,0.5571428571428572,166000,12.01974306733868,1,0,1
144,7,5,4,2,8,0,4,2,3,4,5,4,0,6,1,6,679,183,0,1,173,3,0,2991,0.4557046979865772,204000,12.225875272826354,1,0,1
145,5,5,3,2,8,0,1,1,3,3,3,3,0,3,1,10,1332,336,0,2,0,3,0,3456,0.7708333333333334,125000,11.736069016284437,1,0,1
146,6,5,4,2,4,0,1,1,3,4,5,4,0,1,1,7,0,50,0,1,40,2,0,2679,0.0,130000,11.77528972943772,1,0,1
147,5,7,3,1,8,0,1,1,2,3,3,3,0,4,1,5,209,0,0,1,48,2,0,1590,0.29230769230769227,105000,11.56171562913966,1,0,1
148,7,5,4,2,8,1,1,3,3,4,5,4,4,1,1,8,0,180,0,1,192,2,1,2919,0.0,222500,12.312682380588432,1,0,1
149,7,5,4,0,8,0,1,0,0,4,5,3,0,6,1,6,680,120,0,1,0,2,0,2160,0.6296296296296297,141000,11.856515169360305,1,0,1
150,5,4,3,1,8,0,1,1,2,4,4,3,0,1,1,7,0,0,0,1,314,1,0,2240,0.0,115000,11.652687407345388,1,0,1
151,5,6,3,2,8,0,3,1,3,3,3,3,0,4,1,5,716,0,0,1,0,1,1,1938,0.7389060887512899,122000,11.711776323715394,1,0,1
152,8,5,4,3,8,1,4,2,3,5,5,4,4,6,1,6,1400,436,0,1,102,3,0,3420,0.8187134502923976,372402,12.827729194939907,1,0,1
153,6,5,3,2,8,1,1,2,3,3,4,3,4,3,1,8,416,252,0,1,66,2,1,2818,0.5042424242424243,190000,12.154779351142624,1,0,1
154,6,7,3,2,8,1,4,2,3,4,4,3,4,4,5,4,429,0,1080,1,409,2,0,2854,0.9419475655430711,235000,12.367340793126296,1,0,1
155,6,5,3,1,8,0,1,1,2,3,3,3,0,1,1,7,0,0,0,1,228,1,0,2400,0.0,125000,11.736069016284437,1,0,1
156,6,5,3,0,8,0,1,0,0,3,2,3,0,1,1,5,0,0,0,1,136,1,0,1668,0.0,79000,11.27720313144916,0,0,0
157,5,7,3,2,8,0,0,1,3,0,3,3,0,0,0,5,0,0,0,1,0,1,0,1040,0.0,109500,11.603679828238693,1,0,1
158,8,5,5,3,8,1,1,3,3,5,5,4,4,1,1,8,0,84,0,1,75,2,1,2742,0.0,269500,12.504323669331189,1,0,1
159,7,5,4,2,8,1,1,2,3,4,5,4,4,6,1,8,222,0,0,1,136,2,1,2938,0.22401614530776992,254900,12.448626590364206,1,0,1
160,7,5,4,2,8,1,2,2,3,4,5,4,4,6,1,9,57,456,0,1,539,3,1,3854,0.04094827586206895,320000,12.676076274775909,1,0,1
161,6,6,3,2,8,0,1,1,3,4,3,3,0,4,1,6,660,0,0,1,0,2,0,2464,0.5357142857142857,162500,11.998433280751929,1,0,1
162,9,5,5,3,8,2,3,3,3,5,5,4,4,6,1,10,1016,664,0,1,400,3,1,4240,0.6463104325699746,412500,12.929991484756872,1,0,1
163,7,5,4,2,8,1,2,2,3,4,5,4,4,4,1,7,1201,226,0,1,70,2,0,3082,0.7793640493186242,220000,12.301382825334498,1,0,1
164,4,6,3,0,8,0,1,0,0,3,5,3,0,1,1,4,0,0,0,1,0,1,0,1764,0.0,103200,11.544424132029599,1,0,1
165,6,7,4,1,8,0,2,1,3,3,4,3,0,2,1,5,370,0,0,1,183,2,0,2765,0.32201914708442125,152000,11.931635799828413,1,0,1
166,5,7,3,0,8,0,1,0,0,3,4,3,0,5,3,6,351,0,181,2,140,3,0,1999,0.8260869565217391,127500,11.755871643580617,1,0,1
167,5,5,3,1,8,3,1,3,3,3,5,4,4,2,4,7,379,0,768,1,618,2,0,3484,0.7093382807668522,190000,12.154779351142624,1,0,1
168,8,5,5,3,8,1,1,3,3,5,5,4,4,6,1,8,1288,300,0,1,298,2,1,3743,0.8141592920353982,325624,12.693498620467778,1,0,1
169,7,5,4,2,8,1,1,3,3,4,5,4,4,1,1,7,0,0,0,1,148,2,1,2560,0.0,183500,12.119969946476761,1,0,1
170,8,6,3,2,8,1,1,2,3,4,3,4,3,1,1,6,0,653,0,1,638,2,1,3393,0.0,228000,12.337100907936577,1,0,1
171,5,6,3,2,8,0,1,1,3,3,3,3,0,3,1,7,360,0,0,1,237,1,1,2102,0.5,128500,11.763684183317412,1,0,1
172,6,5,3,2,8,2,4,3,3,3,2,3,4,4,1,7,639,112,0,1,272,2,0,2736,0.5916666666666667,215000,12.2783933071098,1,1,0
173,7,7,4,2,8,1,1,2,4,4,4,4,3,6,3,5,495,0,215,1,476,3,0,2831,0.6672932330827068,239000,12.384218830913648,1,0,1
174,6,5,3,2,8,1,1,1,3,3,3,3,3,5,3,6,288,491,374,1,20,2,1,2724,0.48604992657856094,163000,12.0015054797889,1,0,1
175,6,5,3,2,6,1,1,3,3,4,3,3,3,5,2,7,1398,132,208,1,192,3,0,3257,1.0,184000,12.122691036591123,1,0,1
176,6,7,4,2,8,1,3,1,3,3,3,3,4,5,1,7,477,0,0,1,68,3,0,3360,0.3968386023294509,243000,12.400816722322686,1,0,1
177,6,5,3,2,8,1,1,1,3,4,3,4,3,6,1,8,831,268,0,1,420,2,2,3211,0.7219808861859253,211000,12.259613412458204,1,0,1
178,5,5,4,2,8,1,1,1,3,3,5,4,4,5,4,8,57,0,441,1,0,3,0,2972,0.47338403041825095,172500,12.058152515453552,1,0,1
179,9,5,5,3,8,1,1,3,3,5,5,5,4,6,1,9,1904,748,0,1,60,3,0,4450,0.8592057761732852,501837,13.1260306447518,1,0,1
