Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,decade_YearBuilt,decade_YearRemodAdd,decade_GarageYrBlt
11,20,rl,70,11200,pave,nothing,reg,lvl,allpub,inside,3,sawyer,norm,norm,1fam,1story,5,5,1965,1965,hip,compshg,hdboard,hdboard,nothing,0,3,3,cblock,3,3,1,3,906,1,0,134,1040,gasa,5,y,sbrkr,1040,0,0,1040,1,0,1,0,3,1,3,5,8,0,0,detchd,1965,1,1,384,3,3,y,0,0,0,0,0,0,0,nothing,nothing,0,2,2008,wd,normal,129500,6,6,6
12,60,rl,85,11924,pave,nothing,ir1,lvl,allpub,inside,3,nridght,norm,norm,1fam,2story,9,5,2005,2006,hip,compshg,wdshing,wd shng,stone,286,5,3,pconc,5,3,1,6,998,1,0,177,1175,gasa,5,y,sbrkr,1182,1142,0,2324,1,0,3,0,4,1,5,11,8,2,4,builtin,2005,3,3,736,3,3,y,147,21,0,0,0,0,0,nothing,nothing,0,7,2006,new,partial,345000,10,10,10
13,20,rl,0,12968,pave,nothing,ir2,lvl,allpub,inside,3,sawyer,norm,norm,1fam,1story,5,6,1962,1962,hip,compshg,hdboard,plywood,nothing,0,3,3,cblock,3,3,1,5,737,1,0,175,912,gasa,3,y,sbrkr,912,0,0,912,1,0,1,0,2,1,3,4,8,0,0,detchd,1962,1,1,352,3,3,y,140,0,0,0,176,0,0,nothing,nothing,0,9,2008,wd,normal,144000,6,6,6
14,20,rl,91,10652,pave,nothing,ir1,lvl,allpub,inside,3,collgcr,norm,norm,1fam,1story,7,5,2006,2007,gable,compshg,vinylsd,vinylsd,stone,306,4,3,pconc,4,3,3,1,0,1,0,1494,1494,gasa,5,y,sbrkr,1494,0,0,1494,0,0,2,0,3,1,4,7,8,1,4,attchd,2006,2,3,840,3,3,y,160,33,0,0,0,0,0,nothing,nothing,0,8,2007,new,partial,279500,10,10,10
15,20,rl,0,10920,pave,nothing,ir1,lvl,allpub,corner,3,names,norm,norm,1fam,1story,6,5,1960,1960,hip,compshg,metalsd,metalsd,brkface,212,3,3,cblock,3,3,1,4,733,1,0,520,1253,gasa,3,y,sbrkr,1253,0,0,1253,1,0,1,1,2,1,3,5,8,1,2,attchd,1960,2,1,352,3,3,y,0,213,176,0,0,0,0,gdwo,nothing,0,5,2008,wd,normal,157000,6,6,6
16,45,rm,51,6120,pave,nothing,reg,lvl,allpub,corner,3,brkside,norm,norm,1fam,1.5unf,7,8,1929,2001,gable,compshg,wd sdng,wd sdng,nothing,0,3,3,brktil,3,3,1,1,0,1,0,832,832,gasa,5,y,fusea,854,0,0,854,0,0,1,0,2,1,3,5,8,0,0,detchd,1991,1,2,576,3,3,y,48,112,0,0,0,0,0,gdprv,nothing,0,7,2007,wd,normal,132000,2,10,9
17,20,rl,0,11241,pave,nothing,ir1,lvl,allpub,culdsac,3,names,norm,norm,1fam,1story,6,7,1970,1970,gable,compshg,wd sdng,wd sdng,brkface,180,3,3,cblock,3,3,1,5,578,1,0,426,1004,gasa,5,y,sbrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,8,1,3,attchd,1970,3,2,480,3,3,y,0,0,0,0,0,0,0,nothing,shed,700,3,2010,wd,normal,149000,7,7,7
18,90,rl,72,10791,pave,nothing,reg,lvl,allpub,inside,3,sawyer,norm,norm,duplex,1story,4,5,1967,1967,gable,compshg,metalsd,metalsd,nothing,0,3,3,slab,0,0,0,0,0,0,0,0,0,gasa,3,y,sbrkr,1296,0,0,1296,0,0,2,0,2,2,3,6,8,0,0,carport,1967,1,2,516,3,3,y,0,0,0,0,0,0,0,nothing,shed,500,10,2006,wd,normal,90000,6,6,6
19,20,rl,66,13695,pave,nothing,reg,lvl,allpub,inside,3,sawyerw,rrae,norm,1fam,1story,5,5,2004,2004,gable,compshg,vinylsd,vinylsd,nothing,0,3,3,pconc,3,3,1,6,646,1,0,468,1114,gasa,5,y,sbrkr,1114,0,0,1114,1,0,1,1,3,1,4,6,8,0,0,detchd,2004,1,2,576,3,3,y,0,102,0,0,0,0,0,nothing,nothing,0,6,2008,wd,normal,159000,10,10,10
20,20,rl,70,7560,pave,nothing,reg,lvl,allpub,inside,3,names,norm,norm,1fam,1story,5,6,1958,1965,hip,compshg,brkface,plywood,nothing,0,3,3,cblock,3,3,1,2,504,1,0,525,1029,gasa,3,y,sbrkr,1339,0,0,1339,0,0,1,0,3,1,3,6,7,0,0,attchd,1958,1,1,294,3,3,y,0,0,0,0,0,0,0,mnprv,nothing,0,5,2009,cod,abnorml,139000,5,6,5
21,60,rl,101,14215,pave,nothing,ir1,lvl,allpub,corner,3,nridght,norm,norm,1fam,2story,8,5,2005,2006,gable,compshg,vinylsd,vinylsd,brkface,380,4,3,pconc,5,3,3,1,0,1,0,1158,1158,gasa,5,y,sbrkr,1158,1218,0,2376,0,0,3,1,4,1,4,9,8,1,4,builtin,2005,2,3,853,3,3,y,240,154,0,0,0,0,0,nothing,nothing,0,11,2006,new,partial,325300,10,10,10
22,45,rm,57,7449,pave,grvl,reg,bnk,allpub,inside,3,idotrr,norm,norm,1fam,1.5unf,7,7,1930,1950,gable,compshg,wd sdng,wd sdng,nothing,0,3,3,pconc,3,3,1,1,0,1,0,637,637,gasa,5,y,fusef,1108,0,0,1108,0,0,1,0,3,1,4,6,8,1,4,attchd,1930,1,1,280,3,3,n,0,0,205,0,0,0,0,gdprv,nothing,0,6,2007,wd,normal,139400,3,5,3
23,20,rl,75,9742,pave,nothing,reg,lvl,allpub,inside,3,collgcr,norm,norm,1fam,1story,8,5,2002,2002,hip,compshg,vinylsd,vinylsd,brkface,281,4,3,pconc,4,3,1,1,0,1,0,1777,1777,gasa,5,y,sbrkr,1795,0,0,1795,0,0,2,0,3,1,4,7,8,1,4,attchd,2002,2,2,534,3,3,y,171,159,0,0,0,0,0,nothing,nothing,0,9,2008,wd,normal,230000,10,10,10
24,120,rm,44,4224,pave,nothing,reg,lvl,allpub,inside,3,meadowv,norm,norm,twnhse,1story,5,7,1976,1976,gable,compshg,cemntbd,cmentbd,nothing,0,3,3,pconc,4,3,1,6,840,1,0,200,1040,gasa,3,y,sbrkr,1060,0,0,1060,1,0,1,0,3,1,3,6,8,1,3,attchd,1976,1,2,572,3,3,y,100,110,0,0,0,0,0,nothing,nothing,0,6,2007,wd,normal,129900,7,7,7
25,20,rl,0,8246,pave,nothing,ir1,lvl,allpub,inside,3,sawyer,norm,norm,1fam,1story,5,8,1968,2001,gable,compshg,plywood,plywood,nothing,0,3,4,cblock,3,3,2,3,188,5,668,204,1060,gasa,5,y,sbrkr,1060,0,0,1060,1,0,1,0,3,1,4,6,8,1,3,attchd,1968,1,1,270,3,3,y,406,90,0,0,0,0,0,mnprv,nothing,0,5,2010,wd,normal,154000,6,10,6
26,20,rl,110,14230,pave,nothing,reg,lvl,allpub,corner,3,nridght,norm,norm,1fam,1story,8,5,2007,2007,gable,compshg,vinylsd,vinylsd,stone,640,4,3,pconc,4,3,1,1,0,1,0,1566,1566,gasa,5,y,sbrkr,1600,0,0,1600,0,0,2,0,3,1,4,7,8,1,4,attchd,2007,2,3,890,3,3,y,0,56,0,0,0,0,0,nothing,nothing,0,7,2009,wd,normal,256300,10,10,10
27,20,rl,60,7200,pave,nothing,reg,lvl,allpub,corner,3,names,norm,norm,1fam,1story,5,7,1951,2000,gable,compshg,wd sdng,wd sdng,nothing,0,3,3,cblock,3,3,2,4,234,3,486,180,900,gasa,3,y,sbrkr,900,0,0,900,0,1,1,0,3,1,4,5,8,0,0,detchd,2005,1,2,576,3,3,y,222,32,0,0,0,0,0,nothing,nothing,0,5,2010,wd,normal,134800,5,10,10
28,20,rl,98,11478,pave,nothing,reg,lvl,allpub,inside,3,nridght,norm,norm,1fam,1story,8,5,2007,2008,gable,compshg,vinylsd,vinylsd,stone,200,4,3,pconc,5,3,1,6,1218,1,0,486,1704,gasa,5,y,sbrkr,1704,0,0,1704,1,0,2,0,3,1,4,7,8,1,4,attchd,2008,2,3,772,3,3,y,0,50,0,0,0,0,0,nothing,nothing,0,5,2010,wd,normal,306000,10,10,10
29,20,rl,47,16321,pave,nothing,ir1,lvl,allpub,culdsac,3,names,norm,norm,1fam,1story,5,6,1957,1997,gable,compshg,metalsd,metalsd,nothing,0,3,3,cblock,3,3,4,4,1277,1,0,207,1484,gasa,3,y,sbrkr,1600,0,0,1600,1,0,1,0,2,1,3,6,8,2,4,attchd,1957,2,1,319,3,3,y,288,258,0,0,0,0,0,nothing,nothing,0,12,2006,wd,normal,207500,5,9,5
30,30,rm,60,6324,pave,nothing,ir1,lvl,allpub,inside,3,brkside,feedr,rrnn,1fam,1story,4,6,1927,1950,gable,compshg,metalsd,metalsd,nothing,0,3,3,brktil,3,3,1,1,0,1,0,520,520,gasa,2,n,sbrkr,520,0,0,520,0,0,1,0,1,1,2,4,8,0,0,detchd,1920,1,1,240,2,3,y,49,0,87,0,0,0,0,nothing,nothing,0,5,2008,wd,normal,68500,2,5,2
31,70,c (all),50,8500,pave,pave,reg,lvl,allpub,inside,3,idotrr,feedr,norm,1fam,2story,4,4,1920,1950,gambrel,compshg,brkface,brkface,nothing,0,3,2,brktil,3,3,1,1,0,1,0,649,649,gasa,3,n,sbrkr,649,668,0,1317,0,0,1,0,3,1,3,6,8,0,0,detchd,1920,1,1,250,3,2,n,0,54,172,0,0,0,0,mnprv,nothing,0,7,2008,wd,normal,40000,2,5,2
32,20,rl,0,8544,pave,nothing,ir1,lvl,allpub,culdsac,3,sawyer,norm,norm,1fam,1story,5,6,1966,2006,gable,compshg,hdboard,hdboard,nothing,0,3,3,cblock,3,3,1,1,0,1,0,1228,1228,gasa,4,y,sbrkr,1228,0,0,1228,0,0,1,1,3,1,4,6,8,0,0,attchd,1966,1,1,271,3,3,y,0,65,0,0,0,0,0,mnprv,nothing,0,6,2008,wd,normal,149350,6,10,6
33,20,rl,85,11049,pave,nothing,reg,lvl,allpub,corner,3,collgcr,norm,norm,1fam,1story,8,5,2007,2007,gable,compshg,vinylsd,vinylsd,nothing,0,4,3,pconc,5,3,3,1,0,1,0,1234,1234,gasa,5,y,sbrkr,1234,0,0,1234,0,0,2,0,3,1,4,7,8,0,0,attchd,2007,2,2,484,3,3,y,0,30,0,0,0,0,0,nothing,nothing,0,1,2008,wd,normal,179900,10,10,10
34,20,rl,70,10552,pave,nothing,ir1,lvl,allpub,inside,3,names,norm,norm,1fam,1story,5,5,1959,1959,hip,compshg,brkface,brkface,nothing,0,3,3,cblock,3,3,1,3,1018,1,0,380,1398,gasa,4,y,sbrkr,1700,0,0,1700,0,1,1,1,4,1,4,6,8,1,4,attchd,1959,2,2,447,3,3,y,0,38,0,0,0,0,0,nothing,nothing,0,4,2010,wd,normal,165500,5,5,5
35,120,rl,60,7313,pave,nothing,reg,lvl,allpub,inside,3,nridght,norm,norm,twnhse,1story,9,5,2005,2005,hip,compshg,metalsd,metalsd,brkface,246,5,3,pconc,5,3,1,6,1153,1,0,408,1561,gasa,5,y,sbrkr,1561,0,0,1561,1,0,2,0,2,1,5,6,8,1,4,attchd,2005,3,2,556,3,3,y,203,47,0,0,0,0,0,nothing,nothing,0,8,2007,wd,normal,277500,10,10,10
36,60,rl,108,13418,pave,nothing,reg,lvl,allpub,inside,3,nridght,norm,norm,1fam,2story,8,5,2004,2005,gable,compshg,vinylsd,vinylsd,stone,132,4,3,pconc,5,3,3,1,0,1,0,1117,1117,gasa,5,y,sbrkr,1132,1320,0,2452,0,0,3,1,4,1,4,9,8,1,4,builtin,2004,3,3,691,3,3,y,113,32,0,0,0,0,0,nothing,nothing,0,9,2006,wd,normal,309000,10,10,10
37,20,rl,112,10859,pave,nothing,reg,lvl,allpub,corner,3,collgcr,norm,norm,1fam,1story,5,5,1994,1995,gable,compshg,vinylsd,vinylsd,nothing,0,3,3,pconc,4,3,1,1,0,1,0,1097,1097,gasa,5,y,sbrkr,1097,0,0,1097,0,0,1,1,3,1,3,6,8,0,0,attchd,1995,1,2,672,3,3,y,392,64,0,0,0,0,0,nothing,nothing,0,6,2009,wd,normal,145000,9,9,9
38,20,rl,74,8532,pave,nothing,reg,lvl,allpub,inside,3,names,norm,norm,1fam,1story,5,6,1954,1990,hip,compshg,wd sdng,wd sdng,brkface,650,3,3,cblock,3,3,1,3,1213,1,0,84,1297,gasa,4,y,sbrkr,1297,0,0,1297,0,1,1,0,3,1,3,5,8,1,3,attchd,1954,3,2,498,3,3,y,0,0,0,0,0,0,0,nothing,nothing,0,10,2009,wd,normal,153000,5,9,5
39,20,rl,68,7922,pave,nothing,reg,lvl,allpub,inside,3,names,norm,norm,1fam,1story,5,7,1953,2007,gable,compshg,vinylsd,vinylsd,nothing,0,3,4,cblock,3,3,1,6,731,1,0,326,1057,gasa,3,y,sbrkr,1057,0,0,1057,1,0,1,0,3,1,4,5,8,0,0,detchd,1953,1,1,246,3,3,y,0,52,0,0,0,0,0,nothing,nothing,0,1,2010,wd,abnorml,109000,5,10,5
40,90,rl,65,6040,pave,nothing,reg,lvl,allpub,inside,3,edwards,norm,norm,duplex,1story,4,5,1955,1955,gable,compshg,asbshng,plywood,nothing,0,3,3,pconc,0,0,0,0,0,0,0,0,0,gasa,3,n,fusep,1152,0,0,1152,0,0,2,0,2,2,2,6,8,0,0,nothing,1955,0,0,0,0,0,n,0,0,0,0,0,0,0,nothing,nothing,0,6,2008,wd,adjland,82000,5,5,5
41,20,rl,84,8658,pave,nothing,reg,lvl,allpub,inside,3,names,norm,norm,1fam,1story,6,5,1965,1965,gable,compshg,wd sdng,wd sdng,brkface,101,3,3,cblock,3,3,1,3,643,1,0,445,1088,gasa,5,y,sbrkr,1324,0,0,1324,0,0,2,0,3,1,3,6,8,1,3,attchd,1965,2,2,440,3,3,y,0,138,0,0,0,0,0,gdwo,nothing,0,12,2006,wd,abnorml,160000,6,6,6
42,20,rl,115,16905,pave,nothing,reg,lvl,allpub,inside,3,timber,norm,norm,1fam,1story,5,6,1959,1959,gable,compshg,vinylsd,vinylsd,nothing,0,3,4,cblock,3,3,4,4,967,1,0,383,1350,gasa,4,y,sbrkr,1328,0,0,1328,0,1,1,1,2,1,3,5,8,2,4,attchd,1959,2,1,308,3,3,p,0,104,0,0,0,0,0,nothing,nothing,0,7,2007,wd,normal,170000,5,5,5
43,85,rl,0,9180,pave,nothing,ir1,lvl,allpub,culdsac,3,sawyerw,norm,norm,1fam,sfoyer,5,7,1983,1983,gable,compshg,hdboard,hdboard,nothing,0,3,3,cblock,4,3,3,5,747,2,93,0,840,gasa,4,y,sbrkr,884,0,0,884,1,0,1,0,2,1,4,5,8,0,0,attchd,1983,2,2,504,3,4,y,240,0,0,0,0,0,0,mnprv,nothing,0,12,2007,wd,normal,144000,8,8,8
44,20,rl,0,9200,pave,nothing,ir1,lvl,allpub,culdsac,3,collgcr,norm,norm,1fam,1story,5,6,1975,1980,hip,compshg,vinylsd,vinylsd,nothing,0,3,3,cblock,4,3,3,2,280,4,491,167,938,gasa,3,y,sbrkr,938,0,0,938,1,0,1,0,3,1,3,5,8,0,0,detchd,1977,1,1,308,3,3,y,145,0,0,0,0,0,0,mnprv,nothing,0,7,2008,wd,normal,130250,7,8,7
45,20,rl,70,7945,pave,nothing,reg,lvl,allpub,inside,3,names,norm,norm,1fam,1story,5,6,1959,1959,gable,compshg,brkface,wd sdng,nothing,0,3,3,cblock,3,3,1,5,179,4,506,465,1150,gasa,5,y,fusea,1150,0,0,1150,1,0,1,0,3,1,3,6,8,0,0,attchd,1959,2,1,300,3,3,y,0,0,0,0,0,0,0,nothing,nothing,0,5,2006,wd,normal,141000,5,5,5
46,120,rl,61,7658,pave,nothing,reg,lvl,allpub,inside,3,nridght,norm,norm,twnhse,1story,9,5,2005,2005,hip,compshg,metalsd,metalsd,brkface,412,5,3,pconc,5,3,1,6,456,1,0,1296,1752,gasa,5,y,sbrkr,1752,0,0,1752,1,0,2,0,2,1,5,6,8,1,4,attchd,2005,2,2,576,3,3,y,196,82,0,0,0,0,0,nothing,nothing,0,2,2010,wd,normal,319900,10,10,10
47,50,rl,48,12822,pave,nothing,ir1,lvl,allpub,culdsac,3,mitchel,norm,norm,1fam,1.5fin,7,5,2003,2003,gable,compshg,vinylsd,vinylsd,nothing,0,4,3,pconc,5,3,1,6,1351,1,0,83,1434,gasa,5,y,sbrkr,1518,631,0,2149,1,0,1,1,1,1,4,6,8,1,5,attchd,2003,2,2,670,3,3,y,168,43,0,0,198,0,0,nothing,nothing,0,8,2009,wd,abnorml,239686,10,10,10
48,20,fv,84,11096,pave,nothing,reg,lvl,allpub,inside,3,somerst,norm,norm,1fam,1story,8,5,2006,2006,gable,compshg,vinylsd,vinylsd,nothing,0,4,3,pconc,4,3,3,6,24,1,0,1632,1656,gasa,5,y,sbrkr,1656,0,0,1656,0,0,2,0,3,1,4,7,8,0,0,attchd,2006,2,3,826,3,3,y,0,146,0,0,0,0,0,nothing,nothing,0,7,2007,wd,normal,249700,10,10,10
49,190,rm,33,4456,pave,nothing,reg,lvl,allpub,inside,3,oldtown,norm,norm,2fmcon,2story,4,5,1920,2008,gable,compshg,metalsd,metalsd,nothing,0,3,3,brktil,3,3,1,1,0,1,0,736,736,gasa,4,y,sbrkr,736,716,0,1452,0,0,2,0,2,3,3,8,8,0,0,nothing,1920,0,0,0,0,0,n,0,0,102,0,0,0,0,nothing,nothing,0,6,2009,new,partial,113000,2,10,2
50,20,rl,66,7742,pave,nothing,reg,lvl,allpub,inside,3,sawyer,norm,norm,1fam,1story,5,7,1966,1966,gable,compshg,hdboard,hdboard,nothing,0,3,3,cblock,3,3,1,4,763,1,0,192,955,gasa,5,y,sbrkr,955,0,0,955,1,0,1,0,3,1,3,6,8,0,0,attchd,1966,1,1,386,3,3,y,0,0,0,0,0,0,0,mnprv,nothing,0,1,2007,wd,normal,127000,6,6,6
51,60,rl,0,13869,pave,nothing,ir2,lvl,allpub,corner,3,gilbert,norm,norm,1fam,2story,6,6,1997,1997,gable,compshg,vinylsd,vinylsd,nothing,0,3,3,pconc,4,3,3,6,182,1,0,612,794,gasa,4,y,sbrkr,794,676,0,1470,0,1,2,0,3,1,3,6,8,0,0,attchd,1997,3,2,388,3,3,y,0,75,0,0,0,0,0,nothing,nothing,0,7,2007,wd,normal,177000,9,9,9
52,50,rm,52,6240,pave,nothing,reg,lvl,allpub,inside,3,brkside,norm,norm,1fam,1.5fin,6,6,1934,1950,gable,compshg,wd sdng,wd sdng,nothing,0,3,3,pconc,3,3,1,1,0,1,0,816,816,gasa,3,y,sbrkr,816,0,360,1176,0,0,1,0,3,1,3,6,8,1,4,detchd,1985,1,2,528,3,3,y,112,0,0,0,0,0,0,mnprv,shed,400,9,2006,wd,normal,114500,3,5,8
53,90,rm,110,8472,grvl,nothing,ir2,bnk,allpub,corner,2,idotrr,rrnn,norm,duplex,1story,5,5,1963,1963,gable,compshg,wd sdng,wd sdng,nothing,0,2,3,cblock,4,3,4,2,104,6,712,0,816,gasa,3,n,sbrkr,816,0,0,816,1,0,1,0,2,1,3,5,8,0,0,carport,1963,1,2,516,3,3,y,106,0,0,0,0,0,0,nothing,nothing,0,5,2010,wd,normal,110000,6,6,6
54,20,rl,68,50271,pave,nothing,ir1,low,allpub,inside,3,veenker,norm,norm,1fam,1story,9,5,1981,1987,gable,wdshngl,wdshing,wd shng,nothing,0,4,3,cblock,5,3,4,6,1810,1,0,32,1842,gasa,4,y,sbrkr,1842,0,0,1842,2,0,0,1,0,1,4,5,8,1,4,attchd,1981,3,3,894,3,3,y,857,72,0,0,0,0,0,nothing,nothing,0,11,2006,wd,normal,385000,8,8,8
55,80,rl,60,7134,pave,nothing,reg,bnk,allpub,inside,2,names,norm,norm,1fam,slvl,5,5,1955,1955,gable,compshg,metalsd,metalsd,nothing,0,3,3,cblock,3,3,1,5,384,1,0,0,384,gasa,3,y,sbrkr,1360,0,0,1360,0,0,1,0,3,1,3,6,7,1,3,detchd,1962,1,2,572,3,3,y,0,50,0,0,0,0,0,mnprv,nothing,0,2,2007,wd,normal,130000,5,5,6
56,20,rl,100,10175,pave,nothing,ir1,lvl,allpub,inside,3,names,norm,norm,1fam,1story,6,5,1964,1964,gable,compshg,hdboard,plywood,brkface,272,3,3,cblock,3,3,1,4,490,1,0,935,1425,gasa,4,y,sbrkr,1425,0,0,1425,0,0,2,0,3,1,3,7,8,1,4,attchd,1964,2,2,576,3,3,y,0,0,0,407,0,0,0,nothing,nothing,0,7,2008,wd,normal,180500,6,6,6
57,160,fv,24,2645,pave,pave,reg,lvl,allpub,inside,3,somerst,norm,norm,twnhs,2story,8,5,1999,2000,gable,compshg,metalsd,metalsd,brkface,456,4,3,pconc,4,3,1,6,649,1,0,321,970,gasa,5,y,sbrkr,983,756,0,1739,1,0,2,1,3,1,4,7,8,0,0,attchd,1999,3,2,480,3,3,y,115,0,0,0,0,0,0,nothing,nothing,0,8,2009,wd,abnorml,172500,9,10,9
